ARTNUM,ORIGINAL_ART_NO,MANUFACTURER,STOCK_QTY
bixdx220eg,SLP-DX220EG/BEG,BIXOLON,65
bixdx220g,SLP-DX220G/BEG,BIXOLON,25
bixdx220peel,PEELER-DX220-DG,BIXOLON,0
bixdx220ph8,TPH-DX220,BIXOLON,0
bixdx223bg,SLP-DX223BG,BIXOLON,5
bixdx223eg,SLP-DX223EG/BEG,BIXOLON,0
bixdx223g,SLP-DX223G/BEG,BIXOLON,0
bixdx223ph12,TPH-DX223,BIXOLON,0
bixdx420ph8,TPH-DX420,BIXOLON,0
bixdx423ph12,TPH-DX423,BIXOLON,0
bixe300esk,SRP-E300ESK/BEG,BIXOLON,0
bixe300esk-mea,SRP-E300ESK/MEA,BIXOLON,0
bixe300k,SRP-E300K,BIXOLON,1
bixe302esk,SRP-E302ESK/BEG,BIXOLON,0
bixe302k,SRP-E302K/BEG,BIXOLON,9
bixf3102cok,SRP-F310IICOK/BEG,BIXOLON,0
bixf3102cosk,SRP-F310IICOSK,BIXOLON,0
bixf3102cowdk,SRP-F310IICOWDK,BIXOLON,0
bixf3122cok,SRP-F312IICOK,BIXOLON,0
bixf3122cosk,SRP-F312IICOSK,BIXOLON,0
bixgrc220b,GRC-220B,BIXOLON,78
bixgrc220br,GRC-220B/R,BIXOLON,2
bixifbgt,IFJ-BGT/TYPE,BIXOLON,0
bixifbig,IFJ-BIG/TYPE,BIXOLON,0
bixife2,IFJ-EL/TYPE,BIXOLON,79
bixifp,IFJ-P/TYPE,BIXOLON,0
bixifs,IFJ-S/TYPE,BIXOLON,0
bixl3000ik,SPP-L3000iK,BIXOLON,0
bixl3000ikl,SPP-L3000iKL,BIXOLON,0
bixl3000iwk,SPP-L3000iWK/BEG,BIXOLON,0
bixl3000iwkl,SPP-L3000IAWDAKL/BEG,BIXOLON,0
bixl3000lcase,PLC-L3000/STD,BIXOLON,0
bixl3000ram,PVH-L3000R/STD,BIXOLON,0
bixl3000vhold,PVH-L3000P1/STD,BIXOLON,0
bixl3000wk,SPP-L3000WK,BIXOLON,0
bixl3000wkl,SPP-L3000WKL,BIXOLON,0
bixl310ik5,SPP-L310IAK5/BEG,BIXOLON,0
bixl310ik5l,SPP-L310IKL5/BEG,BIXOLON,0
bixl310k5,SPP-L310K5,BIXOLON,0
bixl310k5l,SPP-L310K5L,BIXOLON,0
bixl410ik5,SPP-L410IK5/BEG,BIXOLON,264
bixl410ik5l,SPP-L410iK5L,BIXOLON,0
bixl410k5,SPP-L410K5,BIXOLON,0
bixl410k5l,SPP-L410K5L/BEG,BIXOLON,0
bixl410wk5,SPP-L410WK5,BIXOLON,0
bixl410wk5l,SPP-L410WK5L,BIXOLON,0
bixles400g,LES-400G,BIXOLON,2
bixpbc1000,PBC-1000/STD,BIXOLON,42
bixpbc2000,PBC-2000/STD,BIXOLON,0
bixpbdr2002,PBD-R200II/STD,BIXOLON,2
bixpbdr300,PBD-R300/STD,BIXOLON,0
bixpblr210,PBL-R210/STD,BIXOLON,0
